IP,port
62.213.87.172,8080
84.22.139.241,3128
87.103.234.116,3128
91.208.39.70,8080
95.167.193.186,8080
84.201.254.47,3128
194.67.37.90,3128
188.225.9.121,8080
94.228.252.85,80
87.244.53.166,8081
178.218.20.107,8080
62.33.207.202,80
188.32.48.236,8081
62.33.207.196,80
94.242.59.135,10010
94.242.58.108,10010
87.225.90.97,3128
94.242.59.135,1448
185.190.105.179,80
62.33.207.196,3128
79.98.212.14,3128
94.242.57.221,3128
185.97.252.54,3128
91.214.70.99,3128
94.242.55.108,10010
94.242.55.108,1448
94.242.58.108,1448
185.22.174.69,10010
85.237.54.35,8081
81.5.103.14,8081
37.228.89.215,80
188.130.255.5,80
5.189.194.36,8081
85.175.217.182,8081
95.161.177.249,8081
91.206.19.193,8081
91.203.125.46,8081
178.169.64.76,8081
194.186.135.74,3130
94.73.202.65,8081
185.22.174.68,1448
86.110.27.165,3128
176.107.221.71,53281
185.22.174.69,1448
89.223.66.4,8080
95.165.239.142,8081
37.79.244.120,3128
84.52.74.194,8080
178.162.102.173,8081
83.69.8.60,8080
78.31.73.222,8080
62.33.207.202,3128
83.219.149.154,8080
176.113.26.66,8080
62.33.207.201,80
176.116.57.51,8080
62.33.207.201,3128
46.34.128.118,80
109.172.57.64,8081
109.195.227.244,8080
185.233.94.105,59288
92.255.206.151,8080
178.46.157.208,8080
91.105.135.181,8081
